filename,sentence,foc-item,foc-moa,foc-poa,foc-vheight,foc-creak,nfoc-item,nfoc-moa,nfoc-poa,nfoc-vheight,nfoc-creak,has-obstruent
tusind-asp-alv-high-st-NA-NA-NA-NA-NA,Koster den tættere på tusind kroner eller hundrede kroner?,tusind,asp,alv,high,st,NA,NA,NA,NA,NA,y
pOElen-asp-bilab-high-st-NA-NA-NA-NA-NA,Vil du helst svømme i pølen eller i floden?,pølen,asp,bilab,high,st,NA,NA,NA,NA,NA,n
byge-unasp-bilab-high-nst-NA-NA-NA-NA-NA,Er det bare en byge eller skal det regne hele dagen?,byge,unasp,bilab,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-melet-nasal-bilab-high-st,Skulle jeg række dig sukkeret eller melet?,NA,NA,NA,NA,NA,melet,nasal,bilab,high,st,n
dOEren-unasp-alv-low-st-NA-NA-NA-NA-NA,Kom han ud af døren eller af vinduet?,døren,unasp,alv,low,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-maler-nasal-bilab-low-st,Er det i dag vi gør rent eller er det i dag vi maler?,NA,NA,NA,NA,NA,maler,nasal,bilab,low,st,n
dele-unasp-alv-high-nst-NA-NA-NA-NA-NA,Skal vi dele eller vil du helst have din egen?,dele,unasp,alv,high,nst,NA,NA,NA,NA,NA,n
nuet-nasal-alv-high-st-NA-NA-NA-NA-NA,Lever hun i nuet eller er hun meget forsigtig?,nuet,nasal,alv,high,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-tOrne-asp-alv-low-nst,Hedder den anden bog De to bjerge eller De to tårne?,NA,NA,NA,NA,NA,tårne,asp,alv,low,nst,n
meter-nasal-bilab-high-st-baner-unasp-bilab-low-nst,Svømmede hun 50 meter eller 50 baner?,meter,nasal,bilab,high,st,baner,unasp,bilab,low,nst,y
maler-nasal-bilab-low-nst-NA-NA-NA-NA-NA,Var han maler eller var han sanger?,maler,nasal,bilab,low,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-poolen-asp-bilab-high-nst,Vil du helst svømme i havet eller i poolen?,NA,NA,NA,NA,NA,poolen,asp,bilab,high,nst,n
NA-NA-NA-NA-NA-mOler-nasal-bilab-low-st,Er fonetik et fag hvor man lytter eller er det et fag hvor man måler ting?,NA,NA,NA,NA,NA,måler,nasal,bilab,low,st,n
NA-NA-NA-NA-NA-nuet-nasal-alv-high-st,Er hun meget forsigtig eller lever hun i nuet?,NA,NA,NA,NA,NA,nuet,nasal,alv,high,st,n
due-unasp-alv-high-nst-mOge-nasal-bilab-low-nst,Blev din mad taget af en due eller af en måge?,due,unasp,alv,high,nst,måge,nasal,bilab,low,nst,n
bilen-unasp-bilab-high-st-NA-NA-NA-NA-NA,Kommer de hertil med bilen eller med båden?,bilen,unasp,bilab,high,st,NA,NA,NA,NA,NA,n
Nilen-nasal-alv-high-st-NA-NA-NA-NA-NA,Skal I sejle på Nilen eller på Donau?,Nilen,nasal,alv,high,st,NA,NA,NA,NA,NA,n
melet-nasal-bilab-high-nst-NA-NA-NA-NA-NA,Smager melonen melet eller er den moden?,melet,nasal,bilab,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-dele-unasp-alv-high-nst,Vil du helst have din egen eller skal vi dele?,NA,NA,NA,NA,NA,dele,unasp,alv,high,nst,n
NA-NA-NA-NA-NA-nOle-nasal-alv-low-nst,Er du mest bange for læger eller nåle?,NA,NA,NA,NA,NA,nåle,nasal,alv,low,nst,n
NA-NA-NA-NA-NA-bagud-unasp-bilab-low-st,Kommer han op foran eller sakker han bagud?,NA,NA,NA,NA,NA,bagud,unasp,bilab,low,st,n
morgen-nasal-bilab-low-nst-NA-NA-NA-NA-NA,Er det morgen eller er det stadig nat?,morgen,nasal,bilab,low,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-time-asp-alv-high-nst,Kommer det til at tage et par minutter eller en time?,NA,NA,NA,NA,NA,time,asp,alv,high,nst,n
Borgen-unasp-bilab-low-st-NA-NA-NA-NA-NA,Ser I Borgen eller ser I Matador?,Borgen,unasp,bilab,low,st,NA,NA,NA,NA,NA,n
pinlig-asp-bilab-high-nst-NA-NA-NA-NA-NA,Var han pinlig eller var han sjov?,pinlig,asp,bilab,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-dagen-unasp-alv-low-st,Mødtes I om aftenen eller om dagen?,NA,NA,NA,NA,NA,dagen,unasp,alv,low,st,n
doven-unasp-alv-low-nst-NA-NA-NA-NA-NA,Er du doven eller er du frisk?,doven,unasp,alv,low,nst,NA,NA,NA,NA,NA,n
bogen-unasp-bilab-low-st-NA-NA-NA-NA-NA,Foretrækker du bogen eller foretrækker du filmen?,bogen,unasp,bilab,low,st,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-Tivoli-asp-alv-high-nst,Skal vi tage på Bakken eller skal vi tage i Tivoli?,NA,NA,NA,NA,NA,Tivoli,asp,alv,high,nst,n
NA-NA-NA-NA-NA-Nilen-nasal-alv-high-st,Skal I sejle på Donau eller på Nilen?,NA,NA,NA,NA,NA,Nilen,nasal,alv,high,st,n
delte-unasp-alv-high-st-NA-NA-NA-NA-NA,Er der delte meninger eller er alle enige?,delte,unasp,alv,high,st,NA,NA,NA,NA,NA,y
baner-unasp-bilab-low-nst-meter-nasal-bilab-high-st,Svømmede hun 50 baner eller 50 meter?,baner,unasp,bilab,low,nst,meter,nasal,bilab,high,st,n
NA-NA-NA-NA-NA-normen-nasal-alv-low-st,Var det unormalt eller var det normen?,NA,NA,NA,NA,NA,normen,nasal,alv,low,st,n
tOrnet-asp-alv-low-st-NA-NA-NA-NA-NA,Var I oppe i tårnet eller oppe på bakken?,tårnet,asp,alv,low,st,NA,NA,NA,NA,NA,n
time-asp-alv-high-nst-NA-NA-NA-NA-NA,Kommer det til at tage en time eller et par minutter?,time,asp,alv,high,nst,NA,NA,NA,NA,NA,n
NA-NA-NA-NA-NA-damen-unasp-alv-low-nst,Hvem spurgte du om vej var det manden eller var det damen?,NA,NA,NA,NA,NA,damen,unasp,alv,low,nst,n
taget-asp-alv-low-st-NA-NA-NA-NA-NA,Røg bolden op på taget eller over hækken?,taget,asp,alv,low,st,NA,NA,NA,NA,NA,n
training1,Kommer du fra Aarhus eller fra København?,,,,,,,,,,,
training2,Kommer du fra Sjælland eller fra Jylland?,,,,,,,,,,,
training3,Har du et fuldtidsarbejde eller er du studerende?,,,,,,,,,,,
training4,Skal vores optagelser være på dansk eller på engelsk?,,,,,,,,,,,
training5,Skal vi lave optagelser i et lydstudie eller i en park?,,,,,,,,,,,
